symbol,exchange,listing_date,delisting_date,status
ADAUSDT,BINANCE,2023-01-01,,active
APTUSDT,BINANCE,2023-01-01,,active
ARBUSDT,BINANCE,2023-03-23,,active
ATOMUSDT,BINANCE,2023-01-01,,active
AVAXUSDT,BINANCE,2023-01-01,,active
BCHUSDT,BINANCE,2023-01-01,,active
BNBUSDT,BINANCE,2023-01-01,,active
BTCUSDT,BINANCE,2023-01-01,,active
DOGEUSDT,BINANCE,2023-01-01,,active
DOTUSDT,BINANCE,2023-01-01,,active
ETCUSDT,BINANCE,2023-01-01,,active
ETHUSDT,BINANCE,2023-01-01,,active
FILUSDT,BINANCE,2023-01-01,,active
HBARUSDT,BINANCE,2023-01-01,,active
ICPUSDT,BINANCE,2023-01-01,,active
INJUSDT,BINANCE,2023-01-01,,active
LINKUSDT,BINANCE,2023-01-01,,active
LTCUSDT,BINANCE,2023-01-01,,active
MATICUSDT,BINANCE,2023-01-01,2024-09-10,delisted
NEARUSDT,BINANCE,2023-01-01,,active
OPUSDT,BINANCE,2023-01-01,,active
RENDERUSDT,BINANCE,2024-07-26,,active
SEIUSDT,BINANCE,2023-08-15,,active
SOLUSDT,BINANCE,2023-01-01,,active
SUIUSDT,BINANCE,2023-05-03,,active
TONUSDT,BINANCE,2024-08-08,,active
TRXUSDT,BINANCE,2023-01-01,,active
UNIUSDT,BINANCE,2023-01-01,,active
XLMUSDT,BINANCE,2023-01-01,,active
XRPUSDT,BINANCE,2023-01-01,,active
